iter	Accuracy	MultiClass
472	0.7016361032	0.8236949036
473	0.7015102491	0.8234541138
474	0.7004494796	0.8230335678
475	0.7019237694	0.8228018689
476	0.7028047475	0.8223034322
477	0.7033441218	0.8219516153
478	0.7026429352	0.8217599519
479	0.7040453084	0.8214065353
480	0.703991371	0.8210402416
481	0.704746495	0.8207939016
482	0.7043869122	0.8205068144
483	0.704620641	0.8200647482
484	0.7051600154	0.81982059
485	0.7055915148	0.8195472374
486	0.706364618	0.819308816
487	0.7071377212	0.8188478762
488	0.7083063656	0.8185214862
489	0.708360303	0.8180002243
490	0.708486157	0.8177218447
491	0.7085400945	0.8173583871
492	0.7081805116	0.8169855111
493	0.7092412811	0.8166045998
494	0.7094210725	0.8162567915
495	0.7101941757	0.8159467692
496	0.7101402383	0.8155645745
497	0.7103739671	0.8152299805
498	0.7120819858	0.8149320172
499	0.7123157147	0.8144653344
500	0.7120280484	0.813876936
501	0.7130888179	0.813396038
502	0.7131427553	0.8129642618
503	0.712980943	0.8125837746
504	0.7136281922	0.8123935734
505	0.7145631077	0.8117898071
506	0.7147968366	0.8115272113
507	0.7146889617	0.8111415202
508	0.7149226906	0.8109677881
509	0.7154620649	0.8106893769
510	0.7158935644	0.8104277561
511	0.7155519607	0.8102337286
512	0.7151384404	0.8098719433
513	0.715965481	0.8093040139
514	0.7170262505	0.8089711914
515	0.7176734997	0.8085718214
516	0.7185005403	0.8080982136
517	0.7192556643	0.8078343317
518	0.7192556643	0.8075925346
519	0.71871629	0.8072706167
520	0.7193096018	0.8069206977
521	0.7203164338	0.8064807123
522	0.7202984547	0.8062024768
523	0.7224919102	0.8058014242
524	0.7231930968	0.80530153
525	0.722959368	0.8051250188
526	0.723085222	0.8048606029
527	0.7246853658	0.8045358145
528	0.7234987423	0.8042724472
529	0.7226717017	0.8039659256
530	0.7222042439	0.8036372105
531	0.7225458477	0.8033040119
532	0.7237684294	0.8028428451
533	0.723588638	0.8025955037
534	0.723588638	0.802310044
535	0.723840346	0.8020604576
536	0.722959368	0.8017374181
537	0.7241280123	0.8015623263
538	0.725080907	0.8010524979
539	0.7253865524	0.8006584554
540	0.7271125503	0.8003735992
541	0.7272923417	0.8000320764
542	0.7274721332	0.7998474491
543	0.7282272572	0.7993909242
544	0.7269866963	0.7989805649
545	0.7276339454	0.7987437783
546	0.727454154	0.798570173
547	0.7282632154	0.7982395859
548	0.728335132	0.7979032561
549	0.7295217556	0.7976619735
550	0.7275620288	0.797237038
551	0.7287666315	0.796850822
552	0.7312837117	0.7963060754
553	0.7315354197	0.7960702225
554	0.7321826689	0.7957707588
555	0.7333692924	0.7954395389
556	0.7334771672	0.7949895472
557	0.7335490838	0.7946538907
558	0.7333692924	0.7942919481
559	0.7343761245	0.794028706
560	0.7334951464	0.7936515988
561	0.7330816261	0.7934246695
562	0.7329557721	0.7930296362
563	0.7337828127	0.7926712771
564	0.7348435822	0.792260118
565	0.7349154988	0.7917044748
566	0.735562748	0.7912313485
567	0.7361560597	0.7909957665
568	0.7366414966	0.790647176
569	0.7369291629	0.7903456368
570	0.7369291629	0.7901573727
571	0.7367493715	0.7899454664
572	0.7373426832	0.7895324628
573	0.7377022661	0.7891419653
574	0.7368212881	0.7886293374
575	0.7375404539	0.7882199524
576	0.7379899324	0.7879988077
577	0.7384753693	0.787637263
578	0.7378281201	0.7872575165
579	0.7384753693	0.7868180057
580	0.7395361388	0.786388954
581	0.7401294506	0.7861525745
582	0.7387630356	0.7858231661
583	0.7408845746	0.7854066305
584	0.7411722409	0.7848279787
585	0.7418734275	0.7843797713
586	0.7408665954	0.7837459962
587	0.7412801158	0.7833454637
588	0.7414599072	0.7830270103
589	0.7422150312	0.7826225179
590	0.7426285515	0.7823506814
591	0.7436353836	0.7818645616
592	0.7437252794	0.7812909635
593	0.7444804034	0.7810731534
594	0.7449478611	0.7804986006
595	0.744300612	0.7800795526
596	0.7437792168	0.7796267692
597	0.7435994254	0.7792559846
598	0.7452535066	0.7790287928
599	0.7447680697	0.7785824701
